Transaction ID,Items
1,"Milk, Bread, Eggs"
2,"Bread, Butter"
3,"Milk, Bread, Butter"
4,"Bread, Butter"
5,"Milk, Eggs"
6,"Bread, Butter, Milk"
7,"Eggs, Bread"
8,"Milk, Bread, Butter, Eggs"
9,"Milk, Bread"
10,"Butter, Eggs"
11,"Milk, Bread, Eggs"
12,"Bread, Butter"
13,"Milk, Bread, Butter"
14,"Bread, Butter"
15,"Milk, Eggs"
16,"Coffee, Sugar, Milk"
17,"Coffee, Sugar"
18,"Coffee, Milk"
19,"Coffee, Sugar, Bread"
20,"Bread, Tea, Sugar"
21,"Tea, Sugar"
22,"Tea, Milk"
23,"Coffee, Sugar, Milk"
24,"Bread, Tea"
25,"Tea, Sugar, Milk"
26,"Laptop, Mouse, Keyboard"
27,"Laptop, Mouse"
28,"Mouse, Keyboard"
29,"Laptop, Keyboard"
30,"Laptop, Mouse, Mousepad"
31,"Phone, Charger, Case"
32,"Phone, Case"
33,"Phone, Charger"
34,"Case, Screen Protector"
35,"Phone, Case, Screen Protector"
36,"Milk, Bread"
37,"Milk, Bread, Butter"
38,"Bread, Butter"
39,"Milk, Eggs"
40,"Milk, Bread, Eggs"
41,"Coffee, Sugar"
42,"Coffee, Sugar, Milk"
43,"Tea, Sugar"
44,"Laptop, Mouse"
45,"Laptop, Keyboard"
46,"Phone, Case"
47,"Phone, Charger"
48,"Milk, Bread"
49,"Bread, Butter"
50,"Coffee, Sugar"
